"Name","smiles","Total.Molweight","Molweight","Monoisotopic.Mass","cLogP","cLogS","H.Acceptors","H.Donors","Total.Surface.Area","Relative.PSA","Polar.Surface.Area","Druglikeness","Mutagenic","Tumorigenic","Reproductive.Effective","Irritant","Shape.Index","Molecular.Flexibility","Molecular.Complexity","Fragments","Non.H.Atoms","Non.C.H.Atoms","Metal.Atoms","Electronegative.Atoms","Stereo.Centers","Rotatable.Bonds","Rings.Closures","Small.Rings","Aromatic.Rings","Aromatic.Atoms","sp3.Atoms","Symmetric.atoms","Amides","Amines","Alkyl.Amines","Aromatic.Amines","Aromatic.Nitrogens","Basic.Nitrogens","Acidic.Oxygens","DataSet"
"Jineol","OC1=CN=C2C(O)=CC=CC2=C1",161.16,161.16,161.047679,1.2842,-1.73,3,2,119.32,0.31152,53.35,-1.88,"none","none","none","none",0.58333,0,0.73034,1,12,3,0,3,0,0,2,2,2,10,2,0,0,0,0,0,1,0,0,"NewGeroprotectors"
"1,4a-dimethyl-7-(propan-2-yl)-decahydronaphthalene-1,6,7-triol","OC1CC2(C)CCCC(O)(C)C2CC1(O)C(C)C",256.384,256.384,256.203845,2.0253,-2.724,3,3,192.12,0.20456,60.69,-3.8885,"none","none","none","none",0.44444,0.40171,0.79764,1,18,3,0,3,5,1,2,2,0,0,18,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"L-Baikiain","O=C(O)C1NC=CCC1",127.142,127.142,127.063329,-2.538,-1.202,3,2,102.08,0.36834,49.33,-3.326,"none","none","none","none",0.66667,0.44387,0.72259,1,9,3,0,3,1,1,1,1,0,0,5,0,0,0,0,0,0,1,1,"NewGeroprotectors"
"2',8'-dimethyl-4'-methylidene-10'-oxaspiro[cyclopropane-1,3'-tricyclo[6.2.1.0¶û,ƒ?ô]undecan]-6'-ene-2',5'-diol","OC1C(=C)C2(CC2)C(O)(C)C34OCC(C=C13)(C)C4",248.321,248.321,248.141245,1.1764,-2.22,3,2,163.36,0.2216,49.69,-0.16671,"none","none","none","none",0.38889,0.19019,0.95423,1,18,3,0,3,4,0,4,5,0,0,14,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"2,2,3b,4-tetramethyl-dodecahydrocyclopenta[a]indene-5,7a,8a-triol","OC1CCC2(O)CC3(O)CC(C)(C)CC3C2(C)C1C",268.395,268.395,268.203845,1.9295,-2.877,3,3,189.03,0.2079,60.69,-0.72394,"none","none","none","none",0.42105,0.19057,0.85521,1,19,3,0,3,6,0,3,3,0,0,19,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-Hydroxy-3-Methylbutyrate","O=C(O)C(O)C(C)C",118.131,118.131,118.062995,-0.1938,-0.76,3,2,93.47,0.41981,57.53,-2.9471,"none","none","none","none",0.625,0.64185,0.73241,1,8,3,0,3,1,2,0,0,0,0,6,1,0,0,0,0,0,0,1,"NewGeroprotectors"
"Aquilegiolide","O=C1OC2C(C=CC(O)C2)=C1",152.149,152.149,152.047345,-0.2674,-1.246,3,1,110.57,0.32685,46.53,-1.2215,"none","none","none","none",0.63636,0.21235,0.74044,1,11,3,0,3,2,0,2,2,0,0,5,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"3-(aminomethyl)-2,3-dihydro-1H-indol-5-ol","OC1=CC=C2NCC(C2=C1)CN",164.207,164.207,164.094963,0.3439,-1.666,3,3,126.11,0.31584,58.28,0.53685,"none","none","none","none",0.58333,0.095502,0.73847,1,12,3,0,3,1,1,2,2,1,6,5,0,0,2,1,1,0,1,0,"NewGeroprotectors"
"1,4a-dimethyl-7-(propan-2-yl)-1,2,3,4,4a,5,8,8a-octahydronaphthalene-1,2,4-triol","OC1CC(O)C2(C)CC=C(CC2C1(O)C)C(C)C",254.368,254.368,254.188195,1.8921,-2.511,3,3,191.4,0.20533,60.69,0.49439,"none","none","none","none",0.44444,0.41544,0.83726,1,18,3,0,3,5,1,2,2,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"3,4'-Dihydroxypropiophenone","O=C(C1=CC=C(O)C=C1)CCO",166.175,166.175,166.062995,0.7128,-1.767,3,2,131.23,0.29902,57.53,-2.5933,"none","none","none","none",0.75,0.49132,0.54931,1,12,3,0,3,0,3,1,1,1,6,4,2,0,0,0,0,0,0,0,"NewGeroprotectors"
