Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,1,,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O,COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1
,1,,C1(C(=O)NC(=O)N1)NC(=O)N,NC(=O)NC1NC(=O)NC1=O
,1,,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
,1,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3,CN(C(=O)n1cnc(-c2cccnc2)c1)C1CCCCC1
,1,,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
,1,,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
,1,,C([C@@H](C(=O)O)N)O,N[C@@H](CO)C(=O)O
,1,,C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
,1,,C1=CC(=CC=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O,O=C1/C(=C/c2ccc(O)cc2)Oc2cc(O)ccc21
,1,,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
,1,,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O
,1,,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
,1,,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
,1,,C1=CC=C(C=C1)CCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4,O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1
,1,,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
,0,,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
,0,,CCCCCC1C(=O)CCC1CC(=O)O,CCCCCC1C(=O)CCC1CC(=O)O
,0,,Cc1cc(=O)n(-c2ccccc2)n1C,Cc1cc(=O)n(-c2ccccc2)n1C
,0,,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
,0,,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1
,0,,Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1
,0,,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
,0,,Nc1ccc(C(=O)O)c(O)c1,Nc1ccc(C(=O)O)c(O)c1
,0,,CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(=O)(=O)OCCCCOS(C)(=O)=O
,0,,CCCc1cc(C(N)=S)ccn1,CCCc1cc(C(N)=S)ccn1
,0,,O=c1cc[nH]c(=S)[nH]1,O=c1cc[nH]c(=S)[nH]1
,0,,CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C,CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C
,0,,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1
,0,,CC[N+](CC)(CC)CC,CC[N+](CC)(CC)CC
,0,,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
,0,,Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21,Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21
,0,,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
,0,,C[N+]1(C)CCN(c2ccccc2)CC1,C[N+]1(C)CCN(c2ccccc2)CC1
,0,,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
,0,,Cc1nccc2c1[nH]c1ccccc12,Cc1nccc2c1[nH]c1ccccc12
,0,,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1
,0,,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1
,0,,CC(N)Cc1cnc[nH]1,CC(N)Cc1cnc[nH]1
,0,,Cc1cn[nH]c1,Cc1cn[nH]c1
,0,,CCCN1CCCC2Cc3[nH]ncc3CC21,CCCN1CCCC2Cc3[nH]ncc3CC21
,0,,CC1(C)CCC=[N+]1[O-],CC1(C)CCC=[N+]1[O-]
,0,,C[N+](C)(C)CC=O,C[N+](C)(C)CC=O
,0,,O=C1OC(=CBr)CCC1c1cccc2ccccc12,O=C1OC(=CBr)CCC1c1cccc2ccccc12
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr
,0,,CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O,CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O
,0,,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12
,0,,O=[N+]([O-])c1cccc2c(Br)[nH]nc12,O=[N+]([O-])c1cccc2c(Br)[nH]nc12
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
,0,,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1
,0,,Brc1c(Br)c(Br)c2n[nH]nc2c1Br,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
,0,,CC(N)CN1CCc2ccc(Br)cc21,CC(N)CN1CCc2ccc(Br)cc21
,0,,O=c1onc2n1-c1cc(Br)ccc1OC2,O=c1onc2n1-c1cc(Br)ccc1OC2
,0,,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12
,0,,Brc1ccc(C2CN3CCSC3=N2)cc1,Brc1ccc(C2CN3CCSC3=N2)cc1
,0,,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1
,0,,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12
,0,,CC[N+](C)(C)Cc1ccccc1Br,CC[N+](C)(C)Cc1ccccc1Br
,0,,CCN(CCCl)Cc1ccccc1Br,CCN(CCCl)Cc1ccccc1Br
,0,,Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1,Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1
,0,,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O
,0,,C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1,C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1
,0,,C[N+](C)(C)CCOC(=O)CBr,C[N+](C)(C)CCOC(=O)CBr
,0,,CC(=O)NBr,CC(=O)NBr
,0,,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
,0,,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1
,0,,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
,0,,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
,0,,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
,0,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
,0,,CC(N)c1cccc(Cl)c1Cl,CC(N)c1cccc(Cl)c1Cl
,0,,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl
,0,,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
,0,,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
,0,,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
,0,,O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1
,0,,CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1,CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1
,0,,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
,0,,CN1CCc2cccc(Cl)c2CC1,CN1CCc2cccc(Cl)c2CC1
,0,,CC1C(=O)NC2=Nc3cccc(Cl)c3CN21,CC1C(=O)NC2=Nc3cccc(Cl)c3CN21
,0,,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
,0,,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
,0,,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
,0,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
,0,,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
,0,,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
,0,,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1
,0,,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
,0,,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2
,0,,CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
,0,,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O
,0,,CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1,CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1
,0,,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1
,0,,Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O,Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O
,0,,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
,0,,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21
,0,,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
,0,,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
,0,,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1
,0,,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1
,0,,O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1,O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1
,0,,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
,0,,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1
,0,,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
,0,,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1
,0,,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
,0,,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1
,0,,Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1
,0,,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12
,0,,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1
,0,,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21
,0,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
,0,,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
,0,,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
,0,,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
,0,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
,0,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
,0,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
,0,,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21
,0,,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
,0,,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2
,0,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
,0,,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O
,0,,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1
,0,,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O
,0,,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1
,0,,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
,0,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
,0,,O=c1[nH]c2cc(Cl)ccc2o1,O=c1[nH]c2cc(Cl)ccc2o1
,0,,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
,0,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
,0,,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
,0,,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O
,0,,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl
,0,,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
,0,,O=C(O)C=CC(O)c1ccc(Cl)cc1,O=C(O)C=CC(O)c1ccc(Cl)cc1
,0,,NCC(CC(=O)O)c1ccc(Cl)cc1,NCC(CC(=O)O)c1ccc(Cl)cc1
,0,,NCC(CP(=O)(O)O)c1ccc(Cl)cc1,NCC(CP(=O)(O)O)c1ccc(Cl)cc1
,0,,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
,0,,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1
,0,,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
,0,,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1
,0,,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
,0,,NC(Cc1ccc(Cl)cc1)C(=O)O,NC(Cc1ccc(Cl)cc1)C(=O)O
,0,,COC(=O)C(N)Cc1ccc(Cl)cc1,COC(=O)C(N)Cc1ccc(Cl)cc1
,0,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
,0,,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
,0,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
,0,,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
,0,,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2
,0,,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1
,0,,CN(C)CCOC(=O)COc1ccc(Cl)cc1,CN(C)CCOC(=O)COc1ccc(Cl)cc1
,0,,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
,0,,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O
