Compound,Life_extended,CAS Number,SMILES
,0,,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
,0,,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
,0,,CNCCC(Oc1ccccc1C)c1ccccc1
,0,,CNC(=O)OCC[N+](C)(C)C
,0,,COC(=O)C(N)CCCN=C(N)N[N+](=O)[O-]
,0,,COC(=O)C(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1
,0,,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
,0,,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1
,0,,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
,0,,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
,0,,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O
,0,,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1
,0,,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O
,0,,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
,0,,C#CCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C
,0,,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
,0,,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
,0,,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
,0,,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
,0,,COC(=O)c1c(C)[nH]c(C)c1C(=O)c1ccccc1Cc1ccccc1
,0,,C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2
,0,,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2
,0,,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12
,0,,CCN(CC)CCOC(=O)c1ccc(N)cc1
,0,,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
,0,,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
,0,,COC(=O)c1cc2c(cn1)[nH]c1ccccc12
,0,,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
,0,,CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
,0,,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
,0,,CNC(=O)Oc1ccc2c(c1)C1CCN(C)C1N2C
,0,,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
,0,,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
,0,,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
,0,,CN(C)CCOC(c1ccccc1)c1ccccc1
,0,,COC1=C(OC)C(=O)c2ccccc2C1=O
,0,,COc1cc(=O)n(C)c2c(OCC(O)C(C)(C)O)cccc12
,0,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
,0,,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC
,0,,CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1
,0,,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
,0,,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1
,0,,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1
,0,,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
,0,,COc1ccc(NC=O)c(C(=O)CCNC(C)=O)c1
,0,,COc1cc(C=C(C#N)C#N)cc(O)c1O
,0,,C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)CC1C
,0,,COc1cc(C(O)C(=O)O)ccc1O
,0,,COc1cc(C(O)CN)ccc1O
,0,,COc1cc(C(O)CO)ccc1O
,0,,CCN(CC)C(=O)c1ccc(O)c(OC)c1
,0,,COc1cc(CC(=O)O)ccc1O
,0,,COc1cc(CCN)ccc1O
,0,,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O
,0,,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1
,0,,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC
,0,,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
,0,,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
,0,,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC
,0,,COc1ccc(CCNCC(O)c2ccc(O)cc2)cc1OC
,0,,COc1cc(OC)c(C=C2C(=O)Nc3ccccc32)c(OC)c1
,0,,COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2
,0,,COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12
,0,,CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(OC)ccc1-2
,0,,COc1ccc2[nH]cc(CCN(C)C)c2c1
,0,,COc1ccc2[nH]cc(CCN)c2c1
,0,,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
,0,,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O
,0,,COc1ccc2cc(C(C)C(=O)O)ccc2c1
,0,,COc1cc2c(cc1OC)C(c1ccccc1)CN(C)CC2
,0,,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccccc1
,0,,CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)Cc1ccccc1-2
,0,,CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)CCCc1ccccc1-2
,0,,COc1cc2nc(N3CCN(C(=O)OCc4ccccc4)C(C(=O)NC(C)(C)C)C3)nc(N)c2cc1OC
,0,,COc1ccc2c(c1)C13CCCCC1C(C2)NCC3
,0,,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12
,0,,COc1ccc2[nH]c3c(c2c1)CCNC3
,0,,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1
,0,,COc1ccc2c(c1)CCC1C2CCC2(C)C(NCCCCCCN3C(=O)C=CC3=O)CCC12
,0,,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
,0,,COc1ccc(C(=O)N2CCCC2=O)cc1
,0,,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
,0,,COc1ccc(C=C(C#N)C#N)cc1
,0,,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
,0,,COc1ccc(CNC(=O)C=Cc2ccc3[nH]cc(CCN(C)C)c3c2)cc1
,0,,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1
,0,,COc1ccc(CCN)cc1O
,0,,COc1ccc(OC)c(C(O)C(C)N)c1
,0,,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3
,0,,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC
,0,,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
,0,,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
,0,,COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1
,0,,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1
,0,,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
,0,,COc1ccccc1N1CCNCC1
,0,,COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12
,0,,CNCCC(Oc1ccccc1OC)c1ccccc1
,0,,Cc1cccc(C)c1OCC(N)C(C)C
,0,,Cc1cccc(C)c1OCC(C)N
,0,,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2
,0,,CCc1ccccc1OCC(O)CNC1CCc2ccccc2C1
,0,,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
,0,,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12
,0,,CC(C)NCC(O)COc1cccc2[nH]ccc12
,0,,CC(C)NCC(O)COc1cccc2ccccc12
,0,,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
,0,,COCCc1ccc(OCC(O)CNC(C)C)cc1
,0,,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
,0,,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
,0,,C=CCc1ccccc1OCC(O)CNC(C)C
,0,,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
,0,,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
,0,,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O
,0,,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O
,0,,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
,0,,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
,0,,NC(=O)OCC(COC(N)=O)c1ccccc1
,0,,C[N+](C)(C)CCOC(N)=O
,0,,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
,0,,CC[N+](CC)(CC)CCOc1ccc(C=Cc2ccccc2)cc1
,0,,CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1
,0,,Cc1nc2c(OCc3ccccc3)cccn2c1CC#N
,0,,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
,0,,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1
,0,,O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1
,0,,CCCOc1ccccc1-c1nc2n[nH]nc2c(=O)[nH]1
,0,,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1
,0,,CCCCOc1cc(CC2CNC(=O)N2)ccc1OC
,0,,COc1ccc(CCCOc2cc(CCn3ccnc3)ccc2OC)cc1
,0,,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
,0,,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
,0,,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
,0,,CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1
,0,,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O
,0,,NC(N)=NOCCC(N)C(=O)O
,0,,O=C(O)C=C1CCCc2ccccc2C1O
,0,,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
,0,,CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)CO)CCC12
,0,,CCCCCCC(C(C)O)n1cnc2c(N)ncnc21
,0,,CNC(C)C(O)c1ccccc1
,0,,OCC1NCC(O)C1O
,0,,Nc1c2c(nc3ccccc13)CCCC2O
,0,,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21
,0,,O=[N+]([O-])c1cccc2cn[nH]c12
,0,,N#Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-]
,0,,CC(=O)C(C)=NO
,0,,CC(=O)C(C)=O
,0,,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
,0,,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1
,0,,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21
,0,,C=CCc1ccc([N+](C)(C)CCC(=O)CC[N+](C)(C)c2ccc(CC=C)cc2)cc1
,0,,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1
,0,,CN(C)C(=O)N=NC(=O)N(C)C
,0,,CC(N)=O
,0,,NC(=O)c1cccc(N)c1
,0,,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-]
,0,,NC(=O)c1ccc2[nH]ccc2c1
,0,,CCCN(CCC)CCc1c[nH]c2ccc(C(N)=O)cc12
,0,,NCCc1c[nH]c2ccc(C(N)=O)cc12
,0,,NC(=O)c1ccccc1
,0,,NC(=O)c1cnccn1
,0,,NC(=O)CNCCC(c1ccccc1)c1ccccc1
,0,,NC(=O)N1c2ccccc2C=Cc2ccccc21
,0,,CCN(CC)C(=O)NC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1
,0,,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
,0,,CCC(=O)N1CCN(C(=O)c2ccccc2)CC1
,0,,CNC(=O)c1cc2c(cn1)[nH]c1ccccc12
,0,,Cc1cccc(C)c1NC(=O)C(C)N
,0,,Cc1cccc(C)c1NC(=O)C[N+](C)(C)C
,0,,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C
,0,,CCN(CC)CC(=O)Nc1c(C)cccc1C
,0,,CN1C2CCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
,0,,CCCNC(C)C(=O)Nc1ccccc1C
,0,,CC(N)C1CCC(C(=O)Nc2ccncc2)CC1
,0,,CCN(CC)CCNC(=O)c1ccc(N)cc1
,0,,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
,0,,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1
,0,,CC(C)NNC(=O)c1ccncc1
,0,,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
,0,,NC(=O)NO
,0,,CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
,0,,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1
,0,,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C
,0,,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O
,0,,CN(N=O)c1ccc(O)c(O)c1
,0,,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
,0,,O=C(O)c1cc(=O)c2ccccc2[nH]1
,0,,CC12C=CC(=O)C=C1CCC1C2=CCC2(C)C(C(=O)CN3CCN(c4cc(N5CCCC5)nc(N5CCCC5)n4)CC3)CCC12
,0,,O=C1C=CC(=O)C=C1
,0,,CN(N=O)c1cc(O)ccc1O
,0,,O=C1c2ccccc2-c2n[nH]c3cccc1c23
,0,,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
,0,,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
,0,,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
,0,,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
,0,,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
,0,,O=C(O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O
,0,,CN1C(=O)CCC1c1cccnc1
,0,,Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O
,0,,Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O
,0,,COCc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC(C)C
,0,,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21
,0,,NC(=O)CN1CC(O)CC1=O
,0,,Cc1ccc(=O)n(-c2ccccc2)c1
,0,,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
,0,,CCN1C(=O)C=CC1=O
,0,,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O
,0,,C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCCCOC(=O)c3ncn4c3CN(C)C(=O)c3cc(C#C)ccc3-4)ncn1-2
,0,,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O
,0,,CCCn1c(=O)c2c(ncn2C)n(CCC)c1=O
,0,,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O
,0,,NC(=O)CN1CCCC1=O
,0,,C[N+](C)(C)CC#CCN1CCCC1=O
,0,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
,0,,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
,0,,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O
,0,,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
,0,,NC1CCN(O)C1=O
,0,,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
,0,,Nc1cc(=O)[nH]c(N)n1
,0,,Nc1nc2[nH]c(=O)cnc2c(=O)[nH]1
,0,,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
,0,,CC(O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1
,0,,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
,0,,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
,0,,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12
,0,,O=c1[nH]cnc2[nH]ncc12
,0,,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
,0,,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12
,0,,Nc1ccc2c3c(cccc13)C(=O)NC2=O
,0,,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
,0,,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
,0,,NC(Cn1ccc(=O)[nH]c1=O)C(=O)O
,0,,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21
,0,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
,0,,O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1
,0,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
,0,,O=c1[nH]c2ccccc2c2ccccc12
,0,,CCCN(CCC)CCc1cccc2c1CC(=O)N2
,0,,CCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1
,0,,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O
,0,,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
,0,,CCC1(c2ccccc2)C(=O)NCNC1=O
,0,,CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1
,0,,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
,0,,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
,0,,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3
,0,,C[N+]1(C)CCc2cc3c(cc2C1C1OC(=O)c2c1ccc1c2OCO1)OCO3
,0,,Nc1ccn(C2CCC(CO)O2)c(=O)n1
,0,,CC1OCC(C[N+](C)(C)C)O1
,0,,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5
,0,,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
,0,,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
,0,,O=C(O)C1C2CCC(O2)C1C(=O)O
,0,,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)NCCCCN=C(N)N
,0,,CNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
,0,,CNC(=O)C1OC(n2cnc3c(NCc4ccc(N)cc4)ncnc32)C(O)C1O
,0,,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O
,0,,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
,0,,CCCCC#Cc1nc(N)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1
,0,,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O
,0,,CC1OC(C[N+](C)(C)C)CC1O
,0,,CNc1ccc2oc(CC3OC4(CCC3C)OC(C(C)C(=O)c3ccc[nH]3)C(C)CC4C)nc2c1C(=O)O
,0,,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O
,0,,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
,0,,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1
,0,,Nc1nccc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CC5CCC4C5)ncnc32)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O
,0,,CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCC4)ncnc32)C(O)C1O
,0,,OCC1OC(n2cnc3c(NC4CCCCC4)ncnc32)C(O)C1O
,0,,Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1
,0,,OCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O
,0,,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O
,0,,C=CCN1CCC23c4c5ccc(O)c4OC2C(=NN=C2CCC4(O)C6Cc7ccc(O)c8c7C4(CCN6CC=C)C2O8)CCC3(O)C1C5
,0,,CN(C)CCCOC1C(C(O)CO)OC2OC(C)(C)OC21
,0,,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314
,0,,CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O
,0,,O=c1cc(O)cc(C=Cc2ccc(O)c(O)c2)o1
,0,,O=C1OC(=O)C2C3CCC(O3)C12
,0,,CC12C(=O)OC(=O)C1(C)C1CCC2O1
,0,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
,0,,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
,0,,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
,0,,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
,0,,CCC1C(=O)OCC1Cc1cncn1C
,0,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
,0,,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
,0,,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C
,0,,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O
,0,,CCCN1CCOC2c3cc(O)ccc3OCC21
,0,,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
,0,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
,0,,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O
,0,,O=c1ccc2ccc(O)c(O)c2o1
,0,,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O
,0,,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1
,0,,O=Nc1ccc2oc(=O)ccc2c1
,0,,CCC1(C2=NCCN2)Cc2ccccc2O1
,0,,CCOC(=O)C12CC1C(=NO)c1ccccc1O2
,0,,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
,0,,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
,0,,CCn1ccnc1CC1COc2ccccc2O1
,0,,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2
,0,,COc1cccc(OC)c1OCCNCC1COc2ccccc2O1
,0,,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
,0,,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3
,0,,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
,0,,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
,0,,COC1(C2=NCCN2)COc2ccccc2O1
,0,,c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2
,0,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
,0,,CCN1CCc2nc(N)oc2CC1
,0,,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
,0,,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1
,0,,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
,0,,CN(C)CCC=C1c2ccccc2COc2ccccc21
,0,,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
,0,,Nc1ncnc2c1ncn2C1CCCO1
,0,,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
,0,,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1
,0,,C1CCC(N=C(NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1
,0,,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1
,0,,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
,0,,C1COC(NC(C2CC2)C2CC2)=N1
